Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Exp_1	Peptides Exp_2	Peptides Exp_5	Peptides Exp_6	Razor + unique peptides Exp_1	Razor + unique peptides Exp_2	Razor + unique peptides Exp_5	Razor + unique peptides Exp_6	Unique peptides Exp_1	Unique peptides Exp_2	Unique peptides Exp_5	Unique peptides Exp_6	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L Exp_1	Ratio M/L normalized Exp_1	Ratio M/L variability [%] Exp_1	Ratio M/L count Exp_1	Ratio M/L iso-count Exp_1	Ratio M/L type Exp_1	Ratio H/L Exp_1	Ratio H/L normalized Exp_1	Ratio H/L variability [%] Exp_1	Ratio H/L count Exp_1	Ratio H/L iso-count Exp_1	Ratio H/L type Exp_1	Ratio H/M Exp_1	Ratio H/M normalized Exp_1	Ratio H/M variability [%] Exp_1	Ratio H/M count Exp_1	Ratio H/M iso-count Exp_1	Ratio H/M type Exp_1	Ratio M/L Exp_2	Ratio M/L normalized Exp_2	Ratio M/L variability [%] Exp_2	Ratio M/L count Exp_2	Ratio M/L iso-count Exp_2	Ratio M/L type Exp_2	Ratio H/L Exp_2	Ratio H/L normalized Exp_2	Ratio H/L variability [%] Exp_2	Ratio H/L count Exp_2	Ratio H/L iso-count Exp_2	Ratio H/L type Exp_2	Ratio H/M Exp_2	Ratio H/M normalized Exp_2	Ratio H/M variability [%] Exp_2	Ratio H/M count Exp_2	Ratio H/M iso-count Exp_2	Ratio H/M type Exp_2	Ratio M/L Exp_5	Ratio M/L normalized Exp_5	Ratio M/L variability [%] Exp_5	Ratio M/L count Exp_5	Ratio M/L iso-count Exp_5	Ratio M/L type Exp_5	Ratio H/L Exp_5	Ratio H/L normalized Exp_5	Ratio H/L variability [%] Exp_5	Ratio H/L count Exp_5	Ratio H/L iso-count Exp_5	Ratio H/L type Exp_5	Ratio H/M Exp_5	Ratio H/M normalized Exp_5	Ratio H/M variability [%] Exp_5	Ratio H/M count Exp_5	Ratio H/M iso-count Exp_5	Ratio H/M type Exp_5	Ratio M/L Exp_6	Ratio M/L normalized Exp_6	Ratio M/L variability [%] Exp_6	Ratio M/L count Exp_6	Ratio M/L iso-count Exp_6	Ratio M/L type Exp_6	Ratio H/L Exp_6	Ratio H/L normalized Exp_6	Ratio H/L variability [%] Exp_6	Ratio H/L count Exp_6	Ratio H/L iso-count Exp_6	Ratio H/L type Exp_6	Ratio H/M Exp_6	Ratio H/M normalized Exp_6	Ratio H/M variability [%] Exp_6	Ratio H/M count Exp_6	Ratio H/M iso-count Exp_6	Ratio H/M type Exp_6	Sequence coverage Exp_1 [%]	Sequence coverage Exp_2 [%]	Sequence coverage Exp_5 [%]	Sequence coverage Exp_6 [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity Exp_1	Intensity L Exp_1	Intensity M Exp_1	Intensity H Exp_1	Intensity Exp_2	Intensity L Exp_2	Intensity M Exp_2	Intensity H Exp_2	Intensity Exp_5	Intensity L Exp_5	Intensity M Exp_5	Intensity H Exp_5	Intensity Exp_6	Intensity L Exp_6	Intensity M Exp_6	Intensity H Exp_6	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	GlyGly (K) site IDs	NEM site IDs	Oxidation (M) site IDs	GlyGly (K) site positions	NEM site positions	Oxidation (M) site positions
A0A024QZP7;P06493;P06493-2;A0A087WZZ9;E5RIU6	A0A024QZP7;P06493;P06493-2;A0A087WZZ9	4;4;3;2;1	4;4;3;2;1	4;4;3;2;1	Cyclin-dependent kinase 1	CDC2;CDK1	>tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens GN=CDC2 PE=1 SV=1;>sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3;>sp|P06493-2|CDK1_HUMAN Isoform 2 of Cyclin-depend	5	4	4	4	2	0	0	3	2	0	0	3	2	0	0	3	19.9	19.9	19.9	34.081	297	297;297;240;224;189	0	11.973	10.24	1.3292	141.01	5	5	Linear	1.8304	0.93417	130.08	5	5	Median	1.0263	0.51083	71.8	5	5	Median	0.96339	0.53524	12.741	2	2	Median	1.9066	0.27299	173.98	2	2	Median	1.9791	0.52132	27.677	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	1.7834	1.6463	140.38	3	3	Median	1.8304	1.6415	52.299	3	3	Median	0.60202	0.51083	97.032	3	3	Median	9.1	0	0	15.8	83851000	6189500	52111000	25550000	15250000	1546300	3739600	9964500	0	0	0	0	0	0	0	0	68601000	4643200	48372000	15586000				0	1950;6577;8771;9577	True;True;True;True	2019;6811;9091;9999	6199;6200;20671;20672;28083;30949	7069;7070;23792;23793;32409;35599	7069;23792;32409;35599			0			280
A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JT62;C9JHS7;C9JK79;C9JHZ8;C9JES8;C9JZI8;C9J5E5;C9JIZ1;H7BZC3;H7C2D1;C9JHS9;C9J739;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;A0A0U1RVI6;C9JHN6	A0A024R4E5;Q00341;Q00341-2;H0Y394	13;13;10;8;5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	13;13;10;8;5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	13;13;10;8;5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1	Vigilin	HDLBP	>tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1;>sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2;>sp|Q00341-2|VIGLN_HUMAN Isoform 2 of Vigilin OS=Homo sap	23	13	13	13	12	0	3	0	12	0	3	0	12	0	3	0	14	14	14	141.44	1268	1268;1268;1235;973;333;96;126;128;141;147;164;221;224;267;308;17;19;47;54;69;79;81;82	0	113.81	4.1095	1.2284	43.413	7	7	Median	7.6874	0.47668	118.52	7	7	Median	2.3746	0.63671	48.234	7	7	Median	3.6106	1.2284	52.694	5	5	Median	10.763	0.47668	112.44	5	5	Median	2.5727	0.8214	31.202	5	5	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.3386	1.2705	7.6703	2	2	Median	1.6407	0.50953	179.35	2	2	Median	0.37817	0.34261	7.9947	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	13.6	0	4	0	135250000	6761600	32320000	96165000	123280000	5571300	23790000	93916000	0	0	0	0	11969000	1190300	8530000	2248600	0	0	0	0				1	400;1311;1867;2786;4543;6205;7297;8572;9261;12094;12480;13842;13843	True;True;True;True;True;True;True;True;True;True;True;True;True	413;1356;1932;2895;4715;6429;7557;8881;9667;12613;13017;14447;14448	1184;4117;4118;5904;8664;14227;19531;23439;27470;27471;27472;30030;39305;40453;45491;45492	1270;4718;4719;6761;9870;16338;22515;27096;31670;31671;31672;34616;45122;46384;52200;52201	1270;4718;6761;9870;16338;22515;27096;31670;34616;45122;46384;52200;52201			1;2;3			249;573;1127
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	8;8;6;6;2;2	8;8;6;6;2;2	8;8;6;6;2;2	40S ribosomal protein S9	RPS9	>tr|A0A024R4M0|A0A024R4M0_HUMAN 40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1;>sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3;>tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1;>t	6	8	8	8	8	0	0	0	8	0	0	0	8	0	0	0	26.3	26.3	26.3	22.591	194	194;194;139;156;77;79	0	11.747	3.9631	6.9898	161.98	4	4	Median	15.679	16.066	179.08	4	4	Median	3.9563	2.2622	17.638	4	4	Median	3.9631	6.9898	161.98	4	4	Median	15.679	16.066	179.08	4	4	Median	3.9563	2.2622	17.638	4	4	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	26.3	0	0	0	1020000000	37656000	174060000	808330000	1020000000	37656000	174060000	808330000	0	0	0	0	0	0	0	0	0	0	0	0				2	2805;6619;7005;7108;7404;9004;10711;10860	True;True;True;True;True;True;True;True	2915;6853;7259;7365;7670;9359;11186;11339	8726;20837;20838;22340;22599;22600;23779;28781;28782;34760;35431	9934;24004;24005;25774;26040;26041;27539;33152;33153;39780;40881	9934;24004;25774;26040;27539;33152;39780;40881			4			92
A0A024RCR6;A0A0G2JK23;P46379-2;P46379;P46379-3;A0A0G2JL47;P46379-5;P46379-4;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;F6WML8;F6VEM6;F6X9W3;F6U341;H0Y710;H0Y4L1;F6TC96	A0A024RCR6;A0A0G2JK23;P46379-2;P46379;P46379-3;A0A0G2JL47;P46379-5;P46379-4	23;23;23;23;23;18;18;17;9;9;9;6;6;6;6;6;6;6;6;5;4;4	23;23;23;23;23;18;18;17;9;9;9;6;6;6;6;6;6;6;6;5;4;4	23;23;23;23;23;18;18;17;9;9;9;6;6;6;6;6;6;6;6;5;4;4	Large proline-rich protein BAG6	BAT3;BAG6	>tr|A0A024RCR6|A0A024RCR6_HUMAN HLA-B associated transcript 3, isoform CRA_a OS=Homo sapiens GN=BAT3 PE=1 SV=1;>tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens GN=BAG6 PE=1 SV=1;>sp|P46379-2|BAG6_HUMAN Isoform 2 of Large prol	22	23	23	23	16	8	22	6	16	8	22	6	16	8	22	6	31	31	31	118.7	1126	1126;1132;1126;1132;1162;1077;1077;903;515;743;743;197;206;215;233;244;258;259;262;226;136;158	0	323.31	17.224	5.0439	32.86	3	0	Median	0.73248	0.03878	34.742	3	0	Median	0.028959	0.023799	75.229	3	0	Median	57.106	3.526	105.09	15	14	Linear	0.97128	0.039092	122.34	13	12	Median	0.084102	0.022551	94.571	13	12	Median	20.992	14.233	11.883	2	2	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	108.23	31.692	91.38	21	19	Linear	0.60595	0.055114	94.606	11	9	Median	0.042137	0.035308	67.125	11	9	Median	5.9699	6.3365	81.131	4	4	Median	2.2782	0.18016	9.2832	3	3	Median	0.32041	0.41312	169.48	3	3	Median	22.5	9.8	31	7.4	943440000	48253000	859830000	35359000	373700000	23818000	327480000	22399000	24758000	391350	24168000	198830	519330000	22243000	486120000	10965000	25656000	1800000	22060000	1795700				3	74;514;1098;1292;1847;1903;1904;2502;3042;6663;7432;7659;8099;8210;8609;8787;10990;11280;12525;12945;13955;14125;15342	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	77;530;1142;1336;1912;1968;1969;2607;3161;6900;7698;7932;8398;8511;8512;8918;9111;11473;11772;13064;13509;14566;14742;16005	188;1535;1536;1537;1538;3556;3557;4073;5862;5863;5864;5865;6033;6034;6035;6036;6037;7838;9369;9370;9371;9372;20980;20981;23844;23845;23846;23847;24739;24740;24741;24742;24743;26196;26466;26467;26468;26469;26470;26471;27595;27596;27597;27598;28126;28127;28128;28129;35816;35817;35818;36667;36668;36669;36670;40586;42388;45818;45819;45820;45821;46448;46449;46450;50173;50174	189;1683;1684;1685;1686;4080;4081;4669;6719;6720;6721;6722;6899;6900;6901;6902;6903;8964;10609;10610;10611;10612;24151;24152;27610;27611;27612;27613;28641;28642;28643;28644;28645;30298;30573;30574;30575;30576;30577;30578;31800;31801;31802;31803;32453;32454;32455;32456;41287;41288;41289;42234;42235;42236;42237;42238;46528;48678;52544;52545;52546;52547;53234;53235;53236;57460;57461	189;1683;4080;4669;6722;6899;6902;8964;10609;24151;27610;28644;30298;30573;31800;32456;41287;42238;46528;48678;52546;53235;57460			5;6;7;8;9;10;11;12;13			37;168;172;800;923;949;978;1040;1048
A0A075B6N9;A0A087X2C0;A0A087WYJ9;P04220;P01871	A0A075B6N9;A0A087X2C0;A0A087WYJ9;P04220;P01871	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Ig mu heavy chain disease protein;Ig mu chain C region	IGHM	>tr|A0A075B6N9|A0A075B6N9_HUMAN Ig mu chain C region (Fragment) OS=Homo sapiens GN=IGHM PE=1 SV=2;>tr|A0A087X2C0|A0A087X2C0_HUMAN Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=1;>tr|A0A087WYJ9|A0A087WYJ9_HUMAN Ig mu chain C region OS=Homo sapiens GN	5	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	4.9	4.9	4.9	49.439	453	453;588;599;391;452	1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	4.9	0	0	967450	967450	0	0	0	0	0	0	967450	967450	0	0	0	0	0	0	0	0	0	0	+			4	12129	True	12648	39414	45255	45255			14			445
A0A087X0P6;A0A0A0MRZ7;A0A075B6S2;A0A0A0MTQ6;A0A087X0Q4;A0A087WW87;A0A075B6R1;A0A075B6S6;A0A075B6S3;A0A075B6P5;P01617;P01614;P06309;P06310	A0A087X0P6;A0A0A0MRZ7;A0A075B6S2;A0A0A0MTQ6;A0A087X0Q4;A0A087WW87;A0A075B6R1;A0A075B6S6;A0A075B6S3;A0A075B6P5;P01617;P01614;P06309;P06310	2;2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1	Ig kappa chain V-II region TEW;Ig kappa chain V-II region Cum;Ig kappa chain V-II region GM607;Ig kappa chain V-II region RPMI 6410	IGKV2D-29;IGKV2D-40;IGKV2D-30;IGKV2-30;IGKV2D-28	>tr|A0A087X0P6|A0A087X0P6_HUMAN Protein IGKV2D-29 OS=Homo sapiens GN=IGKV2D-29 PE=1 SV=1;>tr|A0A0A0MRZ7|A0A0A0MRZ7_HUMAN Protein IGKV2D-26 (Fragment) OS=Homo sapiens GN=IGKV2D-26 PE=4 SV=1;>tr|A0A075B6S2|A0A075B6S2_HUMAN Protein IGKV2D-29 (Fragment) OS=Hom	14	2	2	2	0	2	0	2	0	2	0	2	0	2	0	2	19.6	19.6	19.6	11.192	102	102;120;120;102;104;105;111;120;120;120;113;115;117;133	0	176.8	0.089778	0.067078	44.068	6	6	Median	0.046179	0.040223	24.402	2	2	Median	0.62618	0.36256	48.518	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.089778	0.067078	44.068	6	6	Median	0.046179	0.040223	24.402	2	2	Median	0.62618	0.36256	48.518	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	19.6	0	19.6	3257300000	3239800000	16570000	861870	0	0	0	0	2737400000	2719900000	16570000	861870	0	0	0	0	519910000	519910000	0	0				5	3770;3771	True;True	3913;3914	11798;11799;11800;11801;11802;11803;11804;11805;11806;11807;11808;11809	13643;13644;13645;13646;13647;13648;13649;13650;13651;13652;13653;13654;13655;13656;13657;13658;13659;13660;13661;13662;13663;13664	13646;13664						
A0A075B729;Q14137-2;Q14137	A0A075B729;Q14137-2;Q14137	1;1;1	1;1;1	1;1;1	Ribosome biogenesis protein BOP1	BOP1	>tr|A0A075B729|A0A075B729_HUMAN Ribosome biogenesis protein BOP1 (Fragment) OS=Homo sapiens GN=BOP1 PE=1 SV=1;>sp|Q14137-2|BOP1_HUMAN Isoform 2 of Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1;>sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BO	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	4.6	4.6	4.6	24.941	217	217;634;746	0	38.989	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.6	0	0	0	5412300	186580	1253100	3972600	5412300	186580	1253100	3972600	0	0	0	0	0	0	0	0	0	0	0	0				6	8417	True	8722	27045	31202	31202						
A0A140TA77;A0A140TA68;A0A0G2JNW2;E9PKH0;M3ZCP1;A0A075B788;X6R433;A0A0A0MT22;P08575-2;P08575	A0A140TA77;A0A140TA68;A0A0G2JNW2;E9PKH0;M3ZCP1;A0A075B788;X6R433;A0A0A0MT22;P08575-2;P08575	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Receptor-type tyrosine-protein phosphatase C	PTPRC	>tr|A0A140TA77|A0A140TA77_HUMAN Receptor-type tyrosine-protein phosphatase C (Fragment) OS=Homo sapiens GN=PTPRC PE=1 SV=1;>tr|A0A140TA68|A0A140TA68_HUMAN Receptor-type tyrosine-protein phosphatase C (Fragment) OS=Homo sapiens GN=PTPRC PE=1 SV=1;>tr|A0A0G2	10	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	2.4	2.4	2.4	51.181	457	457;505;523;600;735;753;1145;1306;1143;1304	0.0021231	1.8663	0.024552	0.01256	125.9	2	2	Median	0.011304	0.015814	9.7952	2	2	Median	0.46041	0.39718	5.5447	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	0	2.4	2.4	2.4	48517000	47344000	792290	380020	0	0	0	0	11262000	11262000	0	0	8841100	8621600	128310	91232	28414000	27461000	663980	288790				7	1711	True	1771	5541;5542;5543;5544	6383;6384;6385;6386	6384						
H0YL34;A0A075B7B1;O15061-2;O15061	H0YL34;A0A075B7B1;O15061-2;O15061	3;3;3;3	3;3;3;3	3;3;3;3	Synemin	SYNM	>tr|H0YL34|H0YL34_HUMAN Synemin OS=Homo sapiens GN=SYNM PE=1 SV=1;>tr|A0A075B7B1|A0A075B7B1_HUMAN Desmuslin, isoform CRA_a OS=Homo sapiens GN=SYNM PE=1 SV=1;>sp|O15061-2|SYNEM_HUMAN Isoform 2 of Synemin OS=Homo sapiens GN=SYNM;>sp|O15061|SYNEM_HUMAN Synemi	4	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	4	4	4	107.13	967	967;1253;1253;1565	0	3.6014	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4	0	0	0	9671300	0	0	9671300	9671300	0	0	9671300	0	0	0	0	0	0	0	0	0	0	0	0				8	3179;11034;12547	True;True;True	3301;11518;13088	9826;35952;40675	11200;41434;46618	11200;41434;46618			15			439
E9PKG6;V9HW75;A0A087WSV8;P80303-2;P80303;H0YD18;E9PLR0;E9PLE9;Q2L696	E9PKG6;V9HW75;A0A087WSV8;P80303-2;P80303;H0YD18;E9PLR0;E9PLE9;Q2L696	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	Nucleobindin-2;Nesfatin-1	DCAF5;HEL-S-109;NUCB2;Nucb2	>tr|E9PKG6|E9PKG6_HUMAN Nucleobindin-2 OS=Homo sapiens GN=NUCB2 PE=1 SV=2;>tr|V9HW75|V9HW75_HUMAN Epididymis secretory protein Li 109 OS=Homo sapiens GN=HEL-S-109 PE=1 SV=1;>tr|A0A087WSV8|A0A087WSV8_HUMAN Nucleobindin 2, isoform CRA_b OS=Homo sapiens GN=NU	9	2	2	2	1	0	2	0	1	0	2	0	1	0	2	0	8	8	8	40.368	338	338;420;420;420;420;73;195;198;390	0	3.5778	1.8562	0.55397	160.97	2	2	Median	2.6995	0.49905	112.78	2	2	Median	1.4544	1.7208	121.28	2	2	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.7	0	8	0	36049000	3743000	22401000	9905100	8910800	797070	2874800	5238900	0	0	0	0	27139000	2945900	19526000	4666200	0	0	0	0				9	685;8663	True;True	712;8976	2111;27785;27786	2333;32062;32063	2333;32063			16			130
